T̩cnica,Confianza,Detecciones,Palabras,Tiempo
Original,0.6599760639142371,21,22,6.380435943603516
Grayscale,0.6544086062732639,23,25,5.8992979526519775
CLAHE,0.5902793694619427,23,23,5.320751190185547
Bilateral Filter,0.6551647890082092,18,19,5.15015172958374
Adaptive Threshold,0.3462667603302336,13,13,5.009982109069824
Otsu Threshold,0.7558277491177067,14,17,4.773746967315674
Sharpen,0.6184270305115099,19,20,6.033866882324219
Denoise,0.6051639333299804,24,27,5.326462984085083
Morphology Close,0.7172058414727158,18,19,7.13727593421936
